Company,Symbol,Date,Close,High,Low,Open,Volume,Yearly,Containings
Google,A1,2009-02-01,12.97,13.04,12.97,12.98,385666,254151,254151
Google,A2,2009-02-02,12.4,13.08,12.4,13.08,385667,254152,254152
Google,A3,2009-02-03,12.72,12.93,12.72,12.8,385668,254153,254153
Google,A4,2009-02-04,12.56,12.8,12.56,12.59,385669,254154,254154
Google,A5,2009-02-05,11.9,12.67,11.9,12.43,385670,254155,254155
Google,A6,2009-02-06,11.85,12.21,11.85,12.12,385671,254156,254156
Google,A7,2009-02-07,12.13,12.13,11.91,12.1,385672,254157,254157
Google,A8,2009-02-08,11.61,11.91,11.61,11.85,385673,254158,254158
Google,A9,2009-02-09,10.49,10.84,10.49,10.73,385674,254159,254159
Google,A10,2009-02-10,11.1,11.1,10.63,10.63,385675,254160,254160
Google,A11,2009-02-11,10.25,10.81,10.25,10.81,385676,254161,254161
Google,A12,2009-02-12,8.61,9.08,8.61,9.08,385677,254162,254162
Google,A13,2009-02-13,8.66,8.81,8.66,8.81,385678,254163,254163
Google,A14,2009-02-14,9.35,9.35,8.74,8.74,385679,254164,254164
Google,A15,2009-02-15,9.71,9.71,9.15,9.28,385680,254165,254165
Google,A16,2009-02-16,9.79,9.79,9.45,9.46,385681,254166,254166
Google,A17,2009-02-17,9.5,10,9.5,9.86,385682,254167,254167
Google,A18,2009-02-18,9.55,9.8,9.55,9.8,385683,254168,254168
Google,A19,2009-02-19,9.88,9.88,9.56,9.56,385684,254169,254169
Google,A20,2009-02-20,9.67,10,9.67,9.81,385685,254170,254170
Google,A21,2009-02-21,10.02,10.02,9.76,9.88,385686,254171,254171
Google,A22,2009-02-22,9.5,9.8,9.5,9.8,385687,254172,254172
Google,A23,2009-02-23,10.33,10.33,10.02,10.02,385688,254173,254173
Google,A24,2009-02-24,10.99,10.99,10.36,10.36,385689,254174,254174
Google,A25,2009-02-25,11.59,11.59,10.68,10.78,385690,254175,254175
Google,A26,2009-02-26,11.73,12.63,11.73,11.81,385691,254176,254176
Google,A27,2009-02-27,11.5,12.01,11.5,12.01,385692,254177,254177
Google,A28,2009-02-28,11.06,11.61,11.06,11.55,385693,254178,254178
Google,A29,2009-03-01,11.21,11.43,11.21,11.36,385694,254179,254179
Google,A30,2009-03-02,11.68,11.68,11.35,11.38,385695,254180,254180
Google,A31,2009-03-03,11.45,11.73,11.45,11.58,385696,254181,254181
Google,A32,2009-03-04,11.02,11.84,11.02,11.8,385697,254182,254182
Google,A33,2009-03-05,10.86,11.28,10.86,11.04,385698,254183,254183
Google,A34,2009-03-06,11.58,11.58,11,11.01,385699,254184,254184
Google,A35,2009-03-07,11.83,11.83,11.28,11.41,385700,254185,254185
Google,A36,2009-03-08,12.53,12.53,11.78,11.78,385701,254186,254186
Google,A37,2009-03-09,12.34,12.34,12.06,12.1,385702,254187,254187
Google,A38,2009-03-10,12.43,12.43,11.81,12.06,385703,254188,254188
Google,A39,2009-03-11,12.92,12.92,12.47,12.51,385704,254189,254189
Google,A40,2009-03-12,13.23,13.23,12.42,12.97,385705,254190,254190
Google,A41,2009-03-13,14.86,14.86,14.1,14.4,385706,254191,254191
Google,A42,2009-03-14,15.16,15.16,14.6,14.75,385707,254192,254192
Google,A43,2009-03-15,15.35,15.99,15.35,15.55,385708,254193,254193
Google,A44,2009-03-16,16.49,16.49,15.76,15.76,385709,254194,254194
Google,A45,2009-03-17,16.1,16.1,15.55,15.65,385710,254195,254195
Google,A46,2009-03-18,15.69,16.38,15.69,16.11,385711,254196,254196
Google,A47,2009-03-19,17.29,17.29,16.06,16.06,385712,254197,254197
Google,A48,2009-03-20,17.71,17.71,17.35,17.35,385713,254198,254198
Google,A49,2009-03-21,16.75,17.94,16.75,17.79,385714,254199,254199
Google,A50,2009-03-22,17.01,17.53,17.01,17.4,385715,254200,254200
Google,A51,2009-03-23,17.77,17.77,17.2,17.22,385716,254201,254201
Google,A52,2009-03-24,17.46,17.46,17.19,17.27,385717,254202,254202
Google,A53,2009-03-25,17.31,17.31,16.85,17.15,385718,254203,254203
Google,A54,2009-03-26,17.96,17.96,17.4,17.4,385719,254204,254204
Google,A55,2009-03-27,17.87,17.87,17.54,17.75,385720,254205,254205
Google,A56,2009-03-28,17.36,18.13,17.36,17.92,385721,254206,254206
Google,A57,2009-03-29,18.32,18.32,18.05,18.27,385722,254207,254207
Google,A58,2009-03-30,17.66,18.3,17.66,18.21,385723,254208,254208
Google,A59,2009-03-31,17.41,18.03,17.41,17.83,385724,254209,254209
Google,A60,2009-04-01,17.99,17.99,17.6,17.6,385725,254210,254210
Google,A61,2009-04-02,17.94,17.94,17.72,17.74,385726,254211,254211
Google,A62,2009-04-03,17.97,17.97,17.7,17.85,385727,254212,254212
Google,A63,2009-04-04,17.21,17.61,17.21,17.46,385728,254213,254213
Google,A64,2009-04-05,17.11,17.47,17.11,17.36,385729,254214,254214
Google,A65,2009-04-06,16.09,16.32,16.09,16.25,385730,254215,254215
Google,A66,2009-04-07,16.62,16.62,16.13,16.15,385731,254216,254216
Google,A67,2009-04-08,16.82,16.82,16.4,16.5,385732,254217,254217
Google,A68,2009-04-09,16.34,16.34,15.8,15.85,385733,254218,254218
Google,A69,2009-04-10,15.67,16.68,15.67,16.27,385734,254219,254219
Google,A70,2009-04-11,16.01,16.45,16.01,16.07,385735,254220,254220
Google,A71,2009-04-12,15.9,16.51,15.9,16.31,385736,254221,254221
Google,A72,2009-04-13,15.75,16.06,15.75,16.02,385737,254222,254222
Google,A73,2009-04-14,15.3,15.74,15.3,15.73,385738,254223,254223
Google,A74,2009-04-15,15.23,15.91,15.23,15.49,385739,254224,254224
Google,A75,2009-04-16,15.05,15.5,15.05,15.24,385740,254225,254225
Google,A76,2009-04-17,15.3,15.55,15.13,15.15,385741,254226,254226
Google,A77,2009-04-18,15.27,15.61,15.25,15.3,385742,254227,254227
Google,A78,2009-04-19,15.56,15.78,15.16,15.33,385743,254228,254228
Google,A79,2009-04-20,15.94,15.99,15.61,15.78,385744,254229,254229
Google,A80,2009-04-21,16.38,16.57,16.02,16.13,385745,254230,254230
Google,A81,2009-04-22,16.44,16.69,16.37,16.58,385746,254231,254231
Google,A82,2009-04-23,16.7,16.92,16.38,16.43,385747,254232,254232
Google,A83,2009-04-24,16.68,16.99,16.6,16.82,385748,254233,254233
Google,A84,2009-04-25,16.91,17.2,16.77,16.77,385749,254234,254234
Google,A85,2009-04-26,16.74,17.02,16.51,16.97,385750,254235,254235
Google,A86,2009-04-27,16.92,16.94,16.58,16.79,385751,254236,254236
Google,A87,2009-04-28,17.1,17.48,16.76,17,385752,254237,254237
Google,A88,2009-04-29,17.45,17.69,17.4,17.51,385753,254238,254238
Google,A89,2009-04-30,17.66,17.84,17.34,17.49,385754,254239,254239
Google,A90,2009-05-01,17.92,18.09,17.61,17.78,385755,254240,254240
Google,A91,2009-05-02,17.91,18.04,17.64,17.94,385756,254241,254241
Google,A92,2009-05-03,18.33,18.49,17.85,17.89,385757,254242,254242
Google,A93,2009-05-04,18.13,18.4,17.85,18.4,385758,254243,254243
Google,A94,2009-05-05,18.3,18.41,18.14,18.14,385759,254244,254244
Google,A95,2009-05-06,18.27,18.44,18.06,18.39,385760,254245,254245
Google,A96,2009-05-07,18.18,18.24,17.66,18.18,385761,254246,254246
Google,A97,2009-05-08,18.39,18.45,17.99,18.16,385762,254247,254247
Google,A98,2009-05-09,18.27,18.72,18.22,18.47,385763,254248,254248
Google,A99,2009-05-10,18.17,18.29,17.91,18.27,385764,254249,254249
Samsung,A100,2009-02-01,19.22,19.37,18.17,18.19,385765,254250,254250
Samsung,A101,2009-02-02,18.9,19.45,18.78,19.29,385766,254251,254251
Samsung,A102,2009-02-03,18.52,18.77,18.33,18.77,385767,254252,254252
Samsung,A103,2009-02-04,18.65,18.69,18.42,18.57,385768,254253,254253
Samsung,A104,2009-02-05,18.4,18.68,18.15,18.53,385769,254254,254254
Samsung,A105,2009-02-06,18.85,19.09,18.53,18.55,385770,254255,254255
Samsung,A106,2009-02-07,19.31,19.36,18.84,18.84,385771,254256,254256
Samsung,A107,2009-02-08,19.36,19.64,19.16,19.47,385772,254257,254257
Samsung,A108,2009-02-09,19.11,19.36,18.93,19.22,385773,254258,254258
Samsung,A109,2009-02-10,17.99,18.52,17.8,18.49,385774,254259,254259
Samsung,A110,2009-02-11,18.12,18.24,17.92,18.17,385775,254260,254260
Samsung,A111,2009-02-12,17.95,18.12,17.87,17.93,385776,254261,254261
Samsung,A112,2009-02-13,17.91,18.2,17.7,18.13,385777,254262,254262
Samsung,A113,2009-02-14,17.49,17.95,17.24,17.85,385778,254263,254263
Samsung,A114,2009-02-15,17.79,17.88,17.47,17.58,385779,254264,254264
Samsung,A115,2009-02-16,18.26,18.35,17.88,17.88,385780,254265,254265
Samsung,A116,2009-02-17,18.74,18.8,18.44,18.53,385781,254266,254266
Samsung,A117,2009-02-18,18.58,18.84,18.54,18.83,385782,254267,254267
Samsung,A118,2009-02-19,18.92,18.94,18.76,18.83,385783,254268,254268
Samsung,A119,2009-02-20,19.45,19.49,19.03,19.04,385784,254269,254269
Samsung,A120,2009-02-21,20.17,20.66,19.61,19.62,385785,254270,254270
Samsung,A121,2009-02-22,20.15,20.15,19.45,19.97,385786,254271,254271
Samsung,A122,2009-02-23,20.78,20.99,20.18,20.23,385787,254272,254272
Samsung,A123,2009-02-24,21.02,21.27,20.95,21.07,385788,254273,254273
Samsung,A124,2009-02-25,20.88,21.39,20.77,21.17,385789,254274,254274
Samsung,A125,2009-02-26,20.49,20.93,20.42,20.69,385790,254275,254275
Samsung,A126,2009-02-27,20.46,20.7,20.19,20.49,385791,254276,254276
Samsung,A127,2009-02-28,20.38,20.7,20.34,20.6,385792,254277,254277
Samsung,A128,2009-03-01,20.24,20.44,20.16,20.36,385793,254278,254278
Samsung,A129,2009-03-02,20.19,20.54,19.92,20.13,385794,254279,254279
Samsung,A130,2009-03-03,19.99,20.2,19.92,20.17,385795,254280,254280
Samsung,A131,2009-03-04,20.41,20.58,19.74,19.92,385796,254281,254281
Samsung,A132,2009-03-05,20.09,20.58,20.06,20.45,385797,254282,254282
Samsung,A133,2009-03-06,19.77,20.13,19.43,20.09,385798,254283,254283
Samsung,A134,2009-03-07,19.54,20.02,19.52,19.82,385799,254284,254284
Samsung,A135,2009-03-08,18.65,18.96,18.61,18.94,385800,254285,254285
Samsung,A136,2009-03-09,18.98,19.13,18.63,18.71,385801,254286,254286
Samsung,A137,2009-03-10,19.75,19.85,19.16,19.16,385802,254287,254287
Samsung,A138,2009-03-11,19.6,19.92,19.52,19.84,385803,254288,254288
Samsung,A139,2009-03-12,19.95,19.99,19.72,19.72,385804,254289,254289
Samsung,A140,2009-03-13,20.02,20.18,19.75,19.92,385805,254290,254290
Samsung,A141,2009-03-14,20.12,20.47,20.12,20.17,385806,254291,254291
Samsung,A142,2009-03-15,19.86,20.21,19.77,20.21,385807,254292,254292
Samsung,A143,2009-03-16,20.55,20.62,19.92,19.93,385808,254293,254293
Samsung,A144,2009-03-17,20.66,20.76,20.42,20.59,385809,254294,254294
Samsung,A145,2009-03-18,20.54,20.89,20.34,20.79,385810,254295,254295
Samsung,A146,2009-03-19,20.79,20.99,20.49,20.64,385811,254296,254296
Samsung,A147,2009-03-20,20.54,20.99,20.44,20.94,385812,254297,254297
Samsung,A148,2009-03-21,20.55,20.67,20.02,20.52,385813,254298,254298
Samsung,A149,2009-03-22,20.2,20.35,19.81,20.08,385814,254299,254299
Samsung,A150,2009-03-23,19.92,20.49,19.87,20.42,385815,254300,254300
Samsung,A151,2009-03-24,19.41,20.2,19.2,19.99,385816,254301,254301
Samsung,A152,2009-03-25,18.84,19.3,18.82,19.29,385817,254302,254302
Samsung,A153,2009-03-26,17.74,18.79,17.57,18.75,385818,254303,254303
Samsung,A154,2009-03-27,18.55,18.68,17.71,17.78,385819,254304,254304
Samsung,A155,2009-03-28,17.99,19.05,17.88,18.71,385820,254305,254305
Samsung,A156,2009-03-29,18.08,18.36,17.84,17.84,385821,254306,254306
Samsung,A157,2009-03-30,17.7,17.9,17.52,17.85,385822,254307,254307
Samsung,A158,2009-03-31,18.35,18.58,17.76,17.83,385823,254308,254308
Samsung,A159,2009-04-01,19.22,19.67,18.08,18.13,385824,254309,254309
Samsung,A160,2009-04-02,19.29,19.77,19.13,19.45,385825,254310,254310
Samsung,A161,2009-04-03,19.81,19.86,19.63,19.7,385826,254311,254311
Samsung,A162,2009-04-04,19.97,20.16,19.81,19.88,385827,254312,254312
Samsung,A163,2009-04-05,19.96,20.3,19.95,20.1,385828,254313,254313
Samsung,A164,2009-04-06,19.88,20.09,19.72,19.97,385829,254314,254314
Samsung,A165,2009-04-07,20.02,20.02,19.72,19.72,385830,254315,254315
Samsung,A166,2009-04-08,20.47,20.49,20.17,20.19,385831,254316,254316
Samsung,A167,2009-04-09,20.26,20.49,20.24,20.43,385832,254317,254317
Samsung,A168,2009-04-10,20.26,20.43,20.11,20.33,385833,254318,254318
Samsung,A169,2009-04-11,19.72,20.26,19.43,20.26,385834,254319,254319
Samsung,A170,2009-04-12,19.53,19.79,19.1,19.74,385835,254320,254320
Samsung,A171,2009-04-13,20.05,20.23,19.73,19.77,385836,254321,254321
Samsung,A172,2009-04-14,19.95,20.1,19.68,19.95,385837,254322,254322
Samsung,A173,2009-04-15,19.99,20.09,19.84,19.99,385838,254323,254323
Samsung,A174,2009-04-16,19.49,19.99,19.42,19.84,385839,254324,254324
Samsung,A175,2009-04-17,19.9,20.02,19.19,19.19,385840,254325,254325
Samsung,A176,2009-04-18,19.34,20.16,19.22,19.97,385841,254326,254326
Samsung,A177,2009-04-19,19.95,19.98,19.54,19.54,385842,254327,254327
Samsung,A178,2009-04-20,20.02,20.18,19.88,20.09,385843,254328,254328
Samsung,A179,2009-04-21,20.19,20.4,20.09,20.24,385844,254329,254329
